Employer,CEO,CEOCompensation
CBRE,Robert E. Sulentic,636.7953
MasterCard,Ajay Banga,1340.6041
Universal Health Services,Alan B. Miller,1842.5575
McCormick & Company,Alan D. Wilson,1025.9802
Procter & Gamble,Alan George Lafley,1950.4353
Williams,Alan S. Armstrong,1160.4615
Owens-Illinois,Albert P. L. Stroucken,904.2602
Johnson Controls,Alex A. Molinaroli,1954.0681
Johnson & Johnson,Alex Gorsky,2498.9306
Eaton,Alexander M. Cutler,1674.7752
FLIR,Andrew C. Teich,461.6007
Dow Chemical,Andrew Liveris,1950.7233
Electronic Arts,ANDREW WILSON,1397.5381
AES Corporation,Andrs Ricardo Gluski Weilert,840.3245
Pacific Gas and Electric,"Anthony F. Earley, Jr.",1162.7216
FirstEnergy,Anthony J. Alexander,1556.353
Marriott,Arne M. Sorenson,1489.2836
Carnival Corporation,Arnold W. Donald,873.0512
Macerich,Arthur M. Coppola,1421.2869
Ross Stores,Barbara Rentler,1208.3834
Xcel Energy,Ben Fowke,1287.0477
KeyBank,Beth E. Mooney,712.4566
Nordstrom,Blake W. Nordstrom,378.9239
Dollar Tree,Bob Sasser,781.4488
Intuit,Brad D. Smith,1654.8469
DENTSPLY International,Bret W. Wise,605.2469
Target,Brian C. Cornell,2816.4024
Hasbro,Brian Goldner,1462.3112
Comcast,Brian L. Roberts,3296.1056
Intel Corporation,Brian M. Krzanich,1119.74
Keurig Green Mountain,Brian P. Kelley,761.718
Bank of America,Brian T. Moynihan,1534.2399
Humana,Bruce D. Broussard,1015.5401
Mattel,Bryan G. Stockton,985.8591
Walmart,C. Douglas McMillon,2559.2938
Autodesk,Carl Bass,829.729
ADP,Carlos A. Rodriguez,823.7147
TJX Companies,Carol Meyrowitz,2251.4033
Stericycle,Charles A. Alutto,363.556
Noble Energy,Charles D. Davidson,949.0147
PPG,Charles E. Bunch,2162.8081
Norfolk Southern,"Charles W. Moorman, IV",1353.6017
Visa Inc.,Charles W. Scharf,769.2113
Sherwin-Williams,Christopher M. Connor,1089.6734
Exelon,Christopher M. Crane,1499.083
The Hartford,Christopher Swift,539.2784
Darden,"Clarence Otis, Jr.",698.0147
National Oilwell Varco,Clay C. Williams,1086.3057
Garmin,Clifton A. Pemble,171.6612
Jacobs,Craig L. Martin,599.835
Verisign,D. James Bidzos,765.2865
Micron Technology,D. Mark Durcan,1147.9108
UPS,D. Scott Davis,1699.4449
St. Jude Medical,Daniel J. Starks,1017.1096
Aflac,Daniel P. Amos,1547.7348
Marsh & McLennan Companies,Daniel S. Glaser,1490.6638
Expedia,Dara Khosrowshahi,964.2406
Priceline.com,Darren Huston,2196.6094
Advance Auto Parts,Darren R. Jackson,430.3711
Yum!,David C. Novak,1000.7287
NRG Energy,David Crane,1033.5269
Allergan,David E. I. Pyott,1778.5957
Skyworks Solutions,David J. Aldrich,691.2623
Halliburton,David J. Lesar,2056.0157
Equity Residential,David J. Neithercut,813.9683
Cigna,David M. Cordani,1446.1445
Honeywell,"David M. Cote, J.D.",2914.2121
Discovery Comm.,David M. Zaslav,15607.791
Emerson,David N. Farr,950.9258
LabCorp,David P. King,1047.2562
Waste Management,David P. Steiner,1077.0856
Leggett & Platt,David S. Haffner,724.2695
Simon Property Group,David Simon,1473.9246
Fluor,David T. Seaton,1201.1493
Discover,David W. Nelms,867.174
Avery Dennison,Dean A. Scarborough,1201.3019
Sempra Energy,Debra L. Reed,1689.3225
Campbell Soup Company,Denise M. Morrison,968.7089
Lincoln Financial Group,Dennis R. Glass,1219.5333
HARMAN,Dinesh C. Paliwal,1196.5521
Parker Hannifin,Donald E. Washkewicz,1500.572
D.R. Horton,Donald J. Tomnitz,930.6748
Clorox,Donald R. Knauss,894.9886
McDonald's,Donald Thompson,728.8578
Republic Services,Donald W. Slager,570.5379
Tyson Foods,Donnie Smith,1217.3164
Waters,Douglas A. Berthiaume,150.4903
International Flavors & Fragrances,"Douglas D. Tough, MBA, BBA",743.3601
McGraw Hill Financial,Douglas L. Peterson,649.8116
Ecolab,"Douglas M. Baker, Jr.",1545.6822
Caterpillar,Douglas R. Oberhelman,1713.1448
Varian Medical Systems,Dow R. Wilson,644.3998
Weyerhaeuser,Doyle R. Simons,814.4434
Illinois Tool Works,E. Scott Santi,1199.9278
Alliance Data,Edward J. Heffernan,872.745
Joy Global,"Edward L. Doheny, II",453.4634
DuPont,Ellen J. Kullman,1433.0612
PVH Corp.,Emanuel Chirico,1302.6532
VF,Eric C. Wiseman,1783.2902
ACE Group,Evan G. Greenberg,1967.8174
Hospira,F. Michael Ball,1189.7977
Akamai,F. Thomson Leighton,749.9987
Est_e Lauder Companies,Fabrizio Freda,1556.2714
The Home Depot,Francis S. Blake,985.8833
Cognizant Technology Solutions,Francisco DeSouza,1133.3063
FIS,Frank R. Martire,884.5
AMETEK,Frank S. Hermance,710.924
Northern Trust,Frederick H. Waddell,1243.5522
FedEx,Frederick W. Smith,1415.1977
Starwood Hotels & Resorts,Frits van Paasschen,1200.1943
Apache,G. Steven Farris,1021.4172
Southwest Airlines,Gary C. Kelly,500.2785
Applied Materials,Gary E. Dickerson,1642.5005
Newmont Mining,Gary J. Goldberg,954.7404
Marathon Petroleum,Gary R. Heminger,1640.1255
ConAgra Foods,Gary Rodkin,913.0934
Intuitive Surgical,"Gary S. Guthart, Ph.D.",261.7963
Biogen Idec,George A. Scangos,1863.1369
Express Scripts,George Paz,1292.1006
Tyco,George R. Oliver,899.8307
Cardinal Health,George S. Barrett,1244.8618
BNY Mellon,Gerald L. Hassell,1165.9528
DTE Energy,Gerard M. Anderson,1260.4355
CenturyLink,"Glen F. Post, III",1313.1448
Progressive Insurance,Glenn M. Renwick,984.1581
Gap,Glenn Murphy,1606.4312
Phillips 66,Greg C. Garland,2450.8433
Tractor Supply,Gregory A. Sandfort,469.5342
Aon,Gregory C. Case,1399.164
Walgreens,Gregory D. Wasson,1673.2555
Franklin Templeton Investments,"Gregory Eugene Johnson, CPA",1590.4296
Tesoro Corporation,Gregory J. Goff,2085.5549
O'Reilly Auto Parts,Gregory L. Henslee,446.5436
Motorola Solutions,Gregory Q. Brown,796.9131
Danaher,"H. Lawrence Culp, Jr.",1370.4222
Prologis,Hamid R. Moghadam,1651.4721
Robert Half,"Harold M. Messmer, Jr.",829.2876
Zions Bancorporation,Harris H. Simmons,250.0822
Hess Corporation,"Hess, John B.",2245.953
Western Union,Hikmet Ersek,824.18
Avago Technologies,Hock E. Tan,1720.2596
Starbucks,Howard D. Schultz,2146.6454
Best Buy,Hubert Joly,1388.1219
Monsanto Company,Hugh Grant,1343.6483
Pfizer,Ian C. Read,2328.3048
Colgate-Palmolive,Ian Cook,1453.1582
PepsiCo,Indra K. Nooyi,2248.5574
3M,Inge G. Thulin,2011.5589
